Location,Job_Listing
Orange County,FIRE CHIEF
San Luis Obispo County,FOOD SERVICE SUPERVISOR II
Modoc County,FOOD SERVICE TECHNICIAN I
Contra Costa County,HYDROELECTRIC PLANT MECHANICAL SUPERVISOR
Los Angeles County,"LICENSING-REGISTRATION EXAMINER, DEPARTMENT OF MOTOR VEHICLES"
Sacramento County,STUDENT ASSISTANT
Imperial County,CORRECTIONAL CASE RECORDS SUPERVISOR
Kings County,HEALTH RECORD TECHNICIAN I
San Diego County,ACCOUNTING ANALYST
United States,AIR POLLUTION SPECIALIST
San Diego County,ARCHEOLOGICAL PROJECT LEADER (SEASONAL)
San Diego County,ARCHEOLOGICAL SPECIALIST (SEASONAL)
Lassen County,ASSISTANT CHIEF
Butte County,ASSISTANT CHIEF
Del Norte County,ASSISTANT CORRECTIONAL FOOD MANAGER (DEPT OF CORRECTIONS)
Lassen County,ASSOCIATE GOVERNMENTAL PROGRAM ANALYST
Santa Clara County,ASSOCIATE GOVERNMENTAL PROGRAM ANALYST
Napa County,ASSOCIATE GOVERNMENTAL PROGRAM ANALYST
Fresno County,ASSOCIATE MENTAL HEALTH SPECIALIST
Sacramento County,ASSOCIATE PROPERTY AUDITOR APPRAISER (BOARD OF EQUALIZATION)
Sacramento County,ASSOCIATE SAFETY ENGINEER
Fresno County,ASSOCIATE SAFETY ENGINEER
San Luis Obispo County,AUTOMOBILE MECHANIC (CORRECTIONAL FACILITIES)
Santa Barbara County,AUTOMOTIVE TECHNICIAN II
Alameda County,C. E. A.
Plumas County,CALTRANS EQUIPMENT OPERATOR II
Los Angeles County,CALTRANS HEAVY EQUIPMENT MECHANIC
Los Angeles County,CHIEF ENGINEER I
San Bernardino County,CONSERVATIONIST I
San Joaquin County,CONSERVATIONIST I
Mendocino County,CONSERVATIONIST II
Mendocino County,COOK SPECIALIST II
San Joaquin County,CUSTODIAN I
Ventura County,CUSTODIAN I
Solano County,ENVIRONMENTAL SERVICES INTERN
San Joaquin County,ENVIRONMENTAL SERVICES INTERN
Merced County,ENVIRONMENTAL SERVICES INTERN
Sacramento County,FINANCIAL INSTITUTIONS EXAMINER
Riverside County,FIRE CAPTAIN CORRECTION INSTITUTION
San Bernardino County,FOOD ADMINISTRATOR I (CORRECTIONAL FACILITY)
Solano County,FOOD ADMINISTRATOR I (CORRECTIONAL FACILITY)
Shasta County,FOOD SERVICE TECHNICIAN I
Butte County,FOOD SERVICE TECHNICIAN I
Sacramento County,HAZARDOUS SUBSTANCES ENGINEER
Kern County,HEALTH RECORD TECHNICIAN I
Monterey County,HEALTH RECORD TECHNICIAN I
Sacramento County,HOUSING AND COMMUNITY DEVELOPMENT REPRESENTATIVE II
Sacramento County,HOUSING AND COMMUNITY DEVELOPMENT SPECIALIST II
United States,INFORMATION TECHNOLOGY ASSOCIATE
Fresno County,"LABORATORY ASSISTANT, CORRECTIONAL FACILITY"
San Luis Obispo County,LIBRARIAN (CORRECTIONAL FACILITY)
Monterey County,LIBRARY TECHNICAL ASSISTANT (SAFETY)
Del Norte County,"LICENSED VOCATIONAL NURSE, CALIFORNIA DEPARTMENT OF CORRECTIONS AND REHABILITATION"
Los Angeles County,"LICENSED VOCATIONAL NURSE, CALIFORNIA DEPARTMENT OF CORRECTIONS AND REHABILITATION"
Sacramento County,"LICENSING REPRESENTATIVE II, ABC"
Sacramento County,MAINTENANCE MECHANIC
San Joaquin County,MAINTENANCE MECHANIC
Monterey County,MAINTENANCE MECHANIC (CORRECTIONAL FACILITY)
Santa Barbara County,"MAINTENANCE WORKER, DEPARTMENT OF THE CALIF. HIGHWAY PATROL"
Del Norte County,MEDICAL ASSISTANT
Lassen County,MEDICAL ASSISTANT
San Diego County,MEDICAL ASSISTANT
San Diego County,"NURSE EVALUATOR II, HEALTH SERVICES"
San Diego County,OFFICE ASSISTANT (TYPING)
San Bernardino County,OFFICE TECHNICIAN (TYPING)
San Luis Obispo County,OFFICE TECHNICIAN (TYPING)
Kings County,OFFICE TECHNICIAN (TYPING)
Monterey County,OFFICE TECHNICIAN (TYPING)
Los Angeles County,OFFICE TECHNICIAN (TYPING)
Yolo County,OFFICE TECHNICIAN (TYPING)
Lassen County,OFFICE TECHNICIAN (TYPING)
San Bernardino County,OIL SPILL PREVENTION SPECIALIST
San Joaquin County,"OPTOMETRIST, CORRECTIONAL FACILITY"
Lassen County,"OPTOMETRIST, CORRECTIONAL FACILITY"
San Joaquin County,PAINTER II (CORRECTIONAL FACILITY)
San Benito County,PARK AIDE (SEASONAL)
Los Angeles County,"PAROLE AGENT II, ADULT PAROLE SUPERVISOR"
Sacramento County,PERSONNEL PROGRAM ADVISOR
Sacramento County,PERSONNEL SPECIALIST
Riverside County,PERSONNEL SPECIALIST
Sacramento County,PHARMACY TECHNICIAN
Madera County,PHARMACY TECHNICIAN
Monterey County,PHARMACY TECHNICIAN
San Joaquin County,"PHYSICAL THERAPIST I, CORRECTIONAL FACILITY"
Lassen County,"PHYSICAL THERAPIST I, CORRECTIONAL FACILITY"
Del Norte County,"PHYSICAL THERAPIST I, CORRECTIONAL FACILITY"
San Francisco County,"PROGRAM AND PROJECT SUPERVISOR, PUBLIC UTILITIES COMMISSION"
Los Angeles County,"PROGRAM AND PROJECT SUPERVISOR, PUBLIC UTILITIES COMMISSION"
Sacramento County,"PROGRAM AND PROJECT SUPERVISOR, PUBLIC UTILITIES COMMISSION"
San Bernardino County,PROGRAM ASSISTANT (MENTAL DISABILITIES-SAFETY)
San Bernardino County,PROGRAM DIRECTOR (MENTAL DISABILITIES-SAFETY)
Sacramento County,"PROGRAM MANAGER II, OFFICE OF EMERGENCY SERVICES"
United States,"PROGRAM SPECIALIST III, FRANCHISE TAX BOARD"
Sacramento County,PROGRAM TECHNICIAN
San Francisco County,PROGRAM TECHNICIAN II
Los Angeles County,PSYCHIATRIC TECHNICIAN (SAFETY)
Kern County,PSYCHIATRIC TECHNICIAN (SAFETY)
San Bernardino County,"RADIOLOGIC TECHNOLOGIST, CORRECTIONAL FACILITY"
Solano County,"RADIOLOGIC TECHNOLOGIST, CORRECTIONAL FACILITY"
Shasta County,REGISTERED NURSE                                       (MAND)
Kern County,"REGISTERED NURSE, CORRECTIONAL FACILITY"
Monterey County,"REGISTERED NURSE, CORRECTIONAL FACILITY"
Del Norte County,"REGISTERED NURSE, CORRECTIONAL FACILITY"
Sacramento County,RESEARCH DATA SUPERVISOR I
Sacramento County,RESEARCH SCIENTIST II (EPIDEMIOLOGY/BIOSTATISTICS)
Contra Costa County,RESEARCH SCIENTIST III (EPIDEMIOLOGY/BIOSTATISTICS)
Solano County,"RESPIRATORY CARE SUPERVISOR, CORRECTIONAL FACILITY"
Santa Clara County,ROUTE SALES REPRESENTATIVE
Yolo County,SENIOR ACCOUNTING OFFICER (SPECIALIST)
Sacramento County,SENIOR ACCOUNTING OFFICER (SUPERVISOR)
Sacramento County,"SENIOR COMPLIANCE REPRESENTATIVE, FRANCHISE TAX BOARD"
Sacramento County,SENIOR ENVIRONMENTAL SCIENTIST (SPECIALIST)
Los Angeles County,SENIOR LEGAL ANALYST
San Luis Obispo County,SENIOR LEGAL ANALYST
San Luis Obispo County,SENIOR PARK AIDE (SEASONAL)
Mono County,SENIOR PARK AIDE (SEASONAL)
San Benito County,SENIOR PARK AIDE (SEASONAL)
Sacramento County,SENIOR PARK AND RECREATION SPECIALIST
Monterey County,"SENIOR PSYCHIATRIST (SUPERVISOR), CORRECTIONAL AND REHABILITATIVE SERVICES (SAFETY)"
San Francisco County,SENIOR TELECOMMUNICATIONS ENGINEER
Sacramento County,SENIOR TELECOMMUNICATIONS ENGINEER
Los Angeles County,SENIOR TELECOMMUNICATIONS ENGINEER
Sacramento County,SPECIAL INVESTIGATOR
Monterey County,SPECIAL INVESTIGATOR
Sacramento County,STAFF PARK AND RECREATION SPECIALIST
Alameda County,STAFF SERVICES ANALYST
San Bernardino County,STAFF SERVICES ANALYST
Monterey County,STAFF SERVICES ANALYST
San Luis Obispo County,STAFF SERVICES MANAGER I
Fresno County,STAFF SERVICES MANAGER I
Yolo County,STAFF SERVICES MANAGER I
Los Angeles County,STAFF SERVICES MANAGER I
Sacramento County,STAFF SERVICES MANAGER II (MANAGERIAL)
Yolo County,STAFF SERVICES MANAGER II (SUPERVISORY)
Sacramento County,STAFF SERVICES MANAGER III
San Luis Obispo County,STATE PARK PEACE OFFICER SUPERVISOR (RANGER)
San Diego County,"SUPERVISING CLINICAL LABORATORY TECHNOLOGIST, CORRECTIONAL FACILTY"
Butte County,SUPERVISING COOK I
Sacramento County,SUPERVISING MANAGEMENT AUDITOR
San Joaquin County,"SUPERVISING PSYCHIATRIC SOCIAL WORKER I, CORRECTIONAL FACILTY"
Solano County,"SUPERVISING PSYCHIATRIC SOCIAL WORKER I, CORRECTIONAL FACILTY"
Monterey County,"SUPERVISING REGISTERED NURSE II, CORRECTIONAL FACILITY"
Orange County,"TAX TECHNICIAN, FRANCHISE TAX BOARD"
Riverside County,TEACHER (HIGH SCHOOL-GENERAL EDUCATION) (CORRECTIONAL FACILITY)
Monterey County,TEACHER (HIGH SCHOOL-PHYSICAL EDUCATION) (CORRECTIONAL FACILITY)
Lake County,TRANSPORTATION ENGINEER (CIVIL)
Yuba County,TRANSPORTATION ENGINEER (CIVIL)
Yuba County,TRANSPORTATION ENGINEERING TECHNICIAN
San Bernardino County,UNIT SUPERVISOR (SAFETY)
Sacramento County,UTILITIES ENGINEER
Contra Costa County,"UTILITY CRAFTSWORKER, WATER RESOURCES"
Tuolumne County,VOCATIONAL INSTRUCTOR (BUILDING MAINTENANCE) (CORRECTIONAL FACILITY)
Sacramento County,WAREHOUSE WORKER
Sacramento County,ASSOCIATE HEALTH PROGRAM ADVISER
Sacramento County,ASSOCIATE HYDROELECTRIC POWER UTILITY ENGINEER
San Diego County,ASSOCIATE PARK AND RECREATION SPECIALIST
Yolo County,ASSOCIATE REAL ESTATE OFFICER
Tulare County,CALTRANS LANDSCAPE MAINTENANCE LEADWORKER
San Luis Obispo County,CALTRANS MAINTENANCE AREA SUPERINTENDENT
Kings County,CALTRANS MAINTENANCE AREA SUPERINTENDENT
Madera County,CALTRANS MAINTENANCE SUPERVISOR
Kern County,CARPENTER II (CORRECTIONAL FACILITY)
San Diego County,"COMPLIANCE REPRESENTATIVE, FRANCHISE TAX BOARD"
Riverside County,"COUNSELOR, SCHOOL FOR THE DEAF"
Amador County,CUSTODIAN I
Monterey County,CUSTODIAN II
Ventura County,"DISTRICT SALES REPRESENTATIVE, CA STATE LOTTERY"
Los Angeles County,DRIVER SAFETY HEARING OFFICER
San Luis Obispo County,EMPLOYMENT PROGRAM REPRESENTATIVE
San Diego County,EMPLOYMENT PROGRAM REPRESENTATIVE
Humboldt County,ENVIRONMENTAL PROGRAM MANAGER I (MANAGERIAL)
Contra Costa County,ENVIRONMENTAL SCIENTIST
Riverside County,EXECUTIVE ASSISTANT
Amador County,FOOD SERVICE TECHNICIAN I
Yolo County,FOOD SERVICE TECHNICIAN I
San Diego County,GRADUATE STUDENT ASSISTANT
Kings County,GROUNDSKEEPER (CORRECTIONAL FACILITY)
Sacramento County,HEALTH FACILITIES EVALUATOR II (SUPERVISOR)
Amador County,HEALTH PROGRAM SPECIALIST I
Tuolumne County,HEALTH RECORD TECHNICIAN I
Riverside County,HEALTH RECORD TECHNICIAN II (SUPERVISOR)
United States,HEAVY TRUCK DRIVER
Contra Costa County,HYDROELECTRIC PLANT ELECTRICIAN II
Yolo County,INFORMATION TECHNOLOGY MANAGER I
Los Angeles County,INFORMATION TECHNOLOGY SPECIALIST I
Del Norte County,"LABORATORY ASSISTANT, CORRECTIONAL FACILITY"
San Diego County,LEGAL SECRETARY
Los Angeles County,LEGAL SECRETARY
Sacramento County,LEGAL SUPPORT SUPERVISOR I
Shasta County,LICENSED VOCATIONAL NURSE                              (MAND)
San Luis Obispo County,"LICENSED VOCATIONAL NURSE, CALIFORNIA DEPARTMENT OF CORRECTIONS AND REHABILITATION"
Amador County,"LICENSED VOCATIONAL NURSE, CALIFORNIA DEPARTMENT OF CORRECTIONS AND REHABILITATION"
San Diego County,LICENSING PROGRAM ANALYST
Sacramento County,LICENSING PROGRAM ANALYST
Los Angeles County,LICENSING PROGRAM ANALYST
San Diego County,LICENSING PROGRAM MANAGER II
Los Angeles County,MAINTENANCE MECHANIC
Riverside County,MAINTENANCE MECHANIC
Kern County,MAINTENANCE MECHANIC (CORRECTIONAL FACILITY)
Nevada County,"MAINTENANCE WORKER, DEPARTMENT OF THE CALIF. HIGHWAY PATROL"
San Bernardino County,MANAGEMENT SERVICES TECHNICIAN
Sacramento County,MATERIALS AND STORES SUPERVISOR I (CORRECTIONAL FACILITY)
Amador County,MEDICAL ASSISTANT
Sacramento County,NURSE CONSULTANT III (SUPERVISOR)
San Mateo County,OFFICE ASSISTANT (TYPING)
Ventura County,OFFICE ASSISTANT (TYPING)
Amador County,OFFICE ASSISTANT (TYPING)
Amador County,OFFICE SERVICES SUPERVISOR II                          
Sacramento County,OFFICE SERVICES SUPERVISOR II                          
San Joaquin County,OFFICE TECHNICIAN (TYPING)
Del Norte County,OFFICE TECHNICIAN (TYPING)
Amador County,OFFICE TECHNICIAN (TYPING)
Marin County,OFFICE TECHNICIAN (TYPING)
Del Norte County,"OPTOMETRIST, CORRECTIONAL FACILITY"
Shasta County,PARK MAINTENANCE CHIEF I
Sacramento County,PHARMACIST I        (MAND)
Solano County,"PHYSICAL THERAPIST I, CORRECTIONAL FACILITY"
Los Angeles County,PROGRAM TECHNICIAN II
Imperial County,PROTESTANT CHAPLAIN
Contra Costa County,PUBLIC HEALTH MICROBIOLOGIST SPECIALIST
Sacramento County,"PUBLIC SAFETY DISPATCHER, CALIFORNIA HIGHWAY PATROL"
Solano County,"PUBLIC SAFETY DISPATCHER, CALIFORNIA HIGHWAY PATROL"
San Francisco County,PUBLIC UTILITIES REGULATORY ANALYST I
Sacramento County,PUBLIC UTILITIES REGULATORY ANALYST I
San Francisco County,PUBLIC UTILITIES REGULATORY ANALYST V
Sacramento County,PUBLIC UTILITIES REGULATORY ANALYST V
Fresno County,"RECREATION THERAPIST, CORRECTIONAL FACILITY"
San Diego County,REGISTERED NURSE                                       (MAND)
Marin County,"REGISTERED NURSE, CORRECTIONAL FACILITY"
San Bernardino County,"REGISTERED NURSE, CORRECTIONAL FACILITY"
San Joaquin County,"REGISTERED NURSE, CORRECTIONAL FACILITY"
San Luis Obispo County,"REHABILITATION THERAPIST, STATE FACILITIES (RECREATION-SAFETY)"
Riverside County,RESEARCH DATA SPECIALIST I
Imperial County,RESEARCH DATA SPECIALIST I
San Bernardino County,RESEARCH DATA SPECIALIST I
Los Angeles County,SCIENTIFIC AID
Sacramento County,SENIOR BRIDGE ENGINEER
Inyo County,SENIOR ENVIRONMENTAL SCIENTIST (SUPERVISORY)
Yolo County,SENIOR ESTIMATOR OF BUILDING CONSTRUCTION
Sacramento County,SENIOR LEGAL ANALYST
San Francisco County,SENIOR UTILITIES ENGINEER (SPECIALIST)
Sacramento County,SENIOR UTILITIES ENGINEER (SPECIALIST)
Fresno County,SENIOR WORKERS' COMPENSATION INSURANCE REPRESENTATIVE
Solano County,SENIOR WORKERS' COMPENSATION INSURANCE REPRESENTATIVE
Orange County,SENIOR WORKERS' COMPENSATION INSURANCE REPRESENTATIVE
Sacramento County,SPECIAL AGENT
Orange County,SPECIAL INVESTIGATOR
Riverside County,STAFF AIR POLLUTION SPECIALIST
Sacramento County,STAFF MANAGEMENT AUDITOR
Riverside County,STAFF PSYCHIATRIST                                     (MAND)
Los Angeles County,STAFF SERVICES ANALYST
Madera County,STAFF SERVICES ANALYST
El Dorado County,STAFF SERVICES ANALYST
Amador County,STAFF SERVICES MANAGER I
Orange County,STAFF SERVICES MANAGER I
United States,STAFF SERVICES MANAGER I
Placer County,STAFF SERVICES MANAGER II (MANAGERIAL)
San Bernardino County,STAFF SERVICES MANAGER II (SUPERVISORY)
United States,STATIONARY ENGINEER
San Luis Obispo County,STATIONARY ENGINEER
Los Angeles County,STATIONARY ENGINEER (CORRECTIONAL FACILITY)
Fresno County,STOCK CLERK
San Francisco County,STUDENT ASSISTANT
United States,"SUPERVISING INSPECTOR, BOARD OF PHARMACY"
Sacramento County,SUPERVISING PROGRAM TECHNICIAN II
Fresno County,"SUPERVISING PSYCHIATRIC SOCIAL WORKER I, CORRECTIONAL FACILTY"
Sacramento County,SUPERVISING SPECIAL INVESTIGATOR I (NON-PEACE OFFICER) 
San Diego County,"TAX ADMINISTRATOR I, EMPLOYMENT DEVELOPMENT DEPARTMENT"
Ventura County,"TAX AUDITOR, EMPLOYMENT DEVELOPMENT DEPARTMENT"
Sacramento County,"TAX TECHNICIAN I, BOARD OF EQUALIZATION"
San Luis Obispo County,TRANSPORTATION ENGINEER (CIVIL)
Alameda County,TRANSPORTATION ENGINEER (CIVIL)
Mendocino County,TRANSPORTATION ENGINEER (CIVIL)
Los Angeles County,TRANSPORTATION SURVEYOR PARTY CHIEF (CALTRANS)
Riverside County,VOCATIONAL INSTRUCTOR (CARPENTRY) (CORRECTIONAL FACILITY)
Riverside County,VOCATIONAL INSTRUCTOR (WELDING) (CORRECTIONAL FACILITY)
Riverside County,"VOCATIONAL INSTRUCTOR, AUTO MECHANICS (CORRECTIONAL FACILITY)"
Merced County,WILDLIFE HABITAT ASSISTANT
Fresno County,WILDLIFE HABITAT ASSISTANT
Sacramento County,WORKERS' COMPENSATION CONSULTANT
Los Angeles County,ACCOUNTING TECHNICIAN
Sacramento County,ASSOCIATE CONTROL ENGINEER
Fresno County,BEHAVIOR SPECIALIST II
Los Angeles County,"BUSINESS TAXES SPECIALIST III, BOARD OF EQUALIZATION"
Inyo County,CALTRANS EQUIPMENT OPERATOR I
Los Angeles County,CALTRANS HIGHWAY MAINTENANCE LEADWORKER
Nevada County,COMMERCIAL VEHICLE INSPECTION SPECIALIST
Sacramento County,"COMPLIANCE REPRESENTATIVE, FRANCHISE TAX BOARD"
Sacramento County,COOK SPECIALIST II
Solano County,"CORRECTIONAL HEALTH SERVICES ADMINISTRATOR II, CORRECTIONAL FACILITY"
Sacramento County,CORRECTIONAL LIEUTENANT
Sacramento County,"CUSTOMER SERVICE SPECIALIST, FRANCHISE TAX BOARD"
Sacramento County,DEPUTY ATTORNEY GENERAL SUPERVISOR
Sacramento County,DIGITAL COMPOSITION SPECIALIST II
Yolo County,FINANCIAL ACCOUNTANT IV
Sacramento County,"FINANCIAL AND PERFORMANCE EVALUATOR II, DEPT OF FINANCE"
Sacramento County,GENERAL AUDITOR III
Sonoma County,GRADUATE STUDENT ASSISTANT
Santa Cruz County,GRADUATE STUDENT ASSISTANT
Solano County,HEALTH PROGRAM SPECIALIST I
San Diego County,HEALTH RECORD TECHNICIAN I
Riverside County,HEALTH RECORD TECHNICIAN I
Sacramento County,HYDROELECTRIC PLANT TECHNICIAN I
Sacramento County,Hydroelectric Plant Technician II
Monterey County,"INDUSTRIAL WAREHOUSE AND DISTRIBUTION SUPERVISOR, PRISON INDUSTRY"
San Joaquin County,INFORMATION TECHNOLOGY MANAGER I
Solano County,INFORMATION TECHNOLOGY SUPERVISOR II
Alameda County,INFORMATION TECHNOLOGY SUPERVISOR II
United States,INFORMATION TECHNOLOGY SUPERVISOR II
Sacramento County,"INVESTMENT MANAGER, PUBLIC EMPLOYEES' RETIREMENT SYSTEM"
Yolo County,"INVESTMENT OFFICER II, STATE TEACHERS' RETIREMENT SYSTEM"
Kings County,JEWISH CHAPLAIN
Kern County,"LABORATORY ASSISTANT, CORRECTIONAL FACILITY"
Alameda County,LEGAL SUPPORT SUPERVISOR I
Solano County,LIBRARY TECHNICAL ASSISTANT (SAFETY)
Riverside County,"LICENSED VOCATIONAL NURSE, CALIFORNIA DEPARTMENT OF CORRECTIONS AND REHABILITATION"
San Bernardino County,"LICENSED VOCATIONAL NURSE, CALIFORNIA DEPARTMENT OF CORRECTIONS AND REHABILITATION"
Santa Barbara County,LICENSING PROGRAM ANALYST
San Diego County,"MAINTENANCE WORKER, DEPARTMENT OF THE CALIF. HIGHWAY PATROL"
Sacramento County,MANAGEMENT SERVICES TECHNICIAN
Sacramento County,"MANAGER II, DEPARTMENT OF MOTOR VEHICLES"
San Luis Obispo County,MECHANICAL AND TECHNICAL OCCUPATIONAL TRAINEE
Monterey County,MEDICAL ASSISTANT
San Diego County,"MOTOR CARRIER SPECIALIST I, CALIFORNIA HIGHWAY PATROL"
Riverside County,MUSLIM CHAPLAIN
Fresno County,MUSLIM CHAPLAIN
Kings County,NATIVE AMERICAN SPIRITUAL LEADER
Fresno County,NURSE PRACTITIONER (SAFETY)
Fresno County,OFFICE ASSISTANT (TYPING)
Riverside County,OFFICE ASSISTANT (TYPING)
Tulare County,OFFICE SERVICES SUPERVISOR I (TYPING)                    
Monterey County,OFFICE SERVICES SUPERVISOR II                          
Los Angeles County,OFFICE TECHNICIAN (GENERAL)
San Diego County,OFFICE TECHNICIAN (TYPING)
Solano County,"OPTOMETRIST, CORRECTIONAL FACILITY"
Imperial County,"OPTOMETRIST, CORRECTIONAL FACILITY"
Madera County,"OPTOMETRIST, CORRECTIONAL FACILITY"
Kings County,"OPTOMETRIST, CORRECTIONAL FACILITY"
Kern County,"OPTOMETRIST, CORRECTIONAL FACILITY"
Monterey County,PARK LANDSCAPE MAINTENANCE TECHNICIAN
San Diego County,PARK MAINTENANCE ASSISTANT
Sacramento County,PERSONNEL SUPERVISOR II
San Bernardino County,PHARMACIST I        (MAND)
San Bernardino County,PHARMACY TECHNICIAN
Kern County,"PHYSICAL THERAPIST I, CORRECTIONAL FACILITY"
Sacramento County,"PHYSICIAN AND SURGEON, CORRECTIONAL FACILITY"
San Diego County,PLUMBER II (CORRECTIONAL FACILITY)
Marin County,PRISON INDUSTRIES SUPERINTENDENT II (MATTRESS AND BEDDING)
San Luis Obispo County,PROGRAM TECHNICIAN II
Santa Clara County,PROGRAM TECHNICIAN II
San Diego County,PSYCHIATRIC TECHNICIAN (SAFETY)
Fresno County,PSYCHIATRIC TECHNICIAN (SAFETY)
Fresno County,PSYCHIATRIC TECHNICIAN ASSISTANT (SAFETY)
Kings County,"PSYCHOLOGIST - CLINICAL, CORRECTIONAL FACILITY"
Sacramento County,PUBLIC HEALTH MEDICAL ADMINISTRATOR I
Contra Costa County,PUBLIC HEALTH MEDICAL OFFICER III (EPIDEMIOLOGY)
Solano County,"PUBLIC HEALTH NURSE II, CORRECTIONAL FACILITY"
Solano County,PUBLIC SAFETY DISPATCH SUPERVISOR I CALIFORNIA HIGHWAY PATROL
San Francisco County,PUBLIC UTILITIES REGULATORY ANALYST IV
Los Angeles County,PUBLIC UTILITIES REGULATORY ANALYST IV
Solano County,"RECREATION THERAPIST, CORRECTIONAL FACILITY"
Kern County,"RECREATION THERAPIST, CORRECTIONAL FACILITY"
Monterey County,"RECREATION THERAPIST, CORRECTIONAL FACILITY"
San Luis Obispo County,"RECREATION THERAPIST, CORRECTIONAL FACILITY"
Fresno County,"REGISTERED NURSE, CORRECTIONAL FACILITY"
Riverside County,"REGISTERED NURSE, CORRECTIONAL FACILITY"
Inyo County,RESEARCH DATA ANALYST II
Sacramento County,RESEARCH DATA SPECIALIST II
Sacramento County,RESEARCH DATA SPECIALIST III 
Sacramento County,RESEARCH SCIENTIST III (SOCIAL BEHAVIORAL SCIENCES)
Sacramento County,RESEARCH SCIENTIST SUPERVISOR II (EPIDEMIOLOGY/BIOSTATISTICS)
Contra Costa County,ROUTE SALES REPRESENTATIVE
United States,SENIOR ENVIRONMENTAL SCIENTIST (SPECIALIST)
Solano County,"SENIOR PSYCHOLOGIST, CORRECTIONAL FACILITY (SPECIALIST)"
Kern County,"SENIOR PSYCHOLOGIST, CORRECTIONAL FACILITY (SUPERVISOR)"
Los Angeles County,"SENIOR PSYCHOLOGIST, CORRECTIONAL FACILITY (SUPERVISOR)"
San Luis Obispo County,"SENIOR TRANSPORTATION ENGINEER, CALTRANS"
Sacramento County,SENIOR TRANSPORTATION PLANNER
San Bernardino County,SENIOR TRANSPORTATION SURVEYOR (CALTRANS)
Riverside County,"SENIOR VOCATIONAL REHABILITATION COUNSELOR, QUALIFIED REHABILITIATION PROFESSIONAL"
Alameda County,SPECIAL INVESTIGATOR
United States,STAFF AIR POLLUTION SPECIALIST
Butte County,STAFF SERVICES ANALYST
Yolo County,STAFF SERVICES ANALYST
Kern County,STAFF SERVICES ANALYST
Fresno County,STUDENT ASSISTANT
Fresno County,STUDENT ASSISTANT -ENGINEERING AND ARCHITECTURAL SCIENCES-
San Joaquin County,"SUPERVISING CLINICAL LABORATORY TECHNOLOGIST, CORRECTIONAL FACILTY"
Amador County,SUPERVISING COOK I
Sacramento County,SUPERVISING PROGRAM TECHNICIAN III
Madera County,SUPERVISOR OF BUILDING TRADES (CORRECTIONAL FACILITY)
Sacramento County,"TAX PROGRAM SUPERVISOR, FRANCHISE TAX BOARD"
Sacramento County,"TAX TECHNICIAN, FRANCHISE TAX BOARD"
Alameda County,"TEACHING ASSISTANT, SCHOOL FOR THE BLIND"
Orange County,TRAINING OFFICER I
Sacramento County,TRAINING OFFICER I
Los Angeles County,WAREHOUSE MANAGER II
Solano County,WORKERS' COMPENSATION INSURANCE TECHNICIAN
Orange County,WORKERS' COMPENSATION INSURANCE TECHNICIAN
Monterey County,ASSOCIATE GOVERNMENTAL PROGRAM ANALYST
Yolo County,ASSOCIATE MANAGEMENT AUDITOR
United States,ASSOCIATE STATE ARCHAEOLOGIST
Tulare County,BEHAVIOR SPECIALIST I
Madera County,BUSINESS SERVICE ASSISTANT (SPECIALIST)
Sacramento County,BUSINESS SERVICE OFFICER I (SUPERVISOR)
San Joaquin County,CALTRANS HEAVY EQUIPMENT MECHANIC
Madera County,CALTRANS HIGHWAY MAINTENANCE WORKER
San Bernardino County,CALTRANS HIGHWAY MAINTENANCE WORKER
Fresno County,CALTRANS MAINTENANCE AREA SUPERINTENDENT
Madera County,CARPENTER II (CORRECTIONAL FACILITY)
Solano County,"CHIEF PSYCHOLOGIST, CORRECTIONAL FACILITY"
United States,COASTAL PROGRAM MANAGER
United States,DEPUTY LABOR COMMISSIONER I
United States,DISABILITY INSURANCE PROGRAM MANAGER III
Orange County,"DISTRICT SALES REPRESENTATIVE, CA STATE LOTTERY"
Mendocino County,"DISTRICT SUPERINTENDENT II, DEPARTMENT OF PARKS AND RECREATION SERIES"
Ventura County,DRIVER SAFETY HEARING OFFICER
San Bernardino County,EMPLOYMENT PROGRAM REPRESENTATIVE
El Dorado County,ENVIRONMENTAL SCIENTIST
United States,"FIELD REPRESENTATIVE, BOARD OF FUNERAL DIRECTORS AND EMBALMERS"
Kern County,FISH AND WILDLIFE SCIENTIFIC AID
Siskiyou County,FISH AND WILDLIFE SEASONAL AID
Los Angeles County,GRADUATE STUDENT ASSISTANT
Sonoma County,HEALTH FACILITIES EVALUATOR II (SUPERVISOR)
Sonoma County,HEALTH FACILITIES EVALUATOR MANAGER II
Imperial County,HEALTH PROGRAM SPECIALIST I
San Bernardino County,INFORMATION TECHNOLOGY ASSOCIATE
Los Angeles County,INFORMATION TECHNOLOGY MANAGER I
Alameda County,INFORMATION TECHNOLOGY MANAGER I
Orange County,INFORMATION TECHNOLOGY MANAGER I
San Diego County,INFORMATION TECHNOLOGY SPECIALIST I
Alameda County,INFORMATION TECHNOLOGY SPECIALIST II
Monterey County,LABOR RELATIONS ANALYST
Monterey County,"LABORATORY ASSISTANT, CORRECTIONAL FACILITY"
Yolo County,"LAW ENFORCEMENT CONSULTANT I, COMMISSION ON PEACE OFFICER STANDARDS AND TRAINING"
San Francisco County,LEGAL ANALYST
Alameda County,LEGAL ANALYST
Alameda County,LEGAL SECRETARY
Sacramento County,LEGAL SECRETARY
